Series ID,Year,Period,Label,Value,3-Month Net Change,3-Month % Change
LAUST210000000000004,2000,M01,2000 Jan,92392,15918,20.8
LAUST210000000000004,2000,M02,2000 Feb,100547,25185,33.4
LAUST210000000000004,2000,M03,2000 Mar,89699,14447,19.2
LAUST210000000000004,2000,M04,2000 Apr,72123,-20269,-21.9
LAUST210000000000004,2000,M05,2000 May,79923,-20624,-20.5
LAUST210000000000004,2000,M06,2000 Jun,83395,-6304,-7.0
LAUST210000000000004,2000,M07,2000 Jul,83079,10956,15.2
LAUST210000000000004,2000,M08,2000 Aug,77023,-2900,-3.6
LAUST210000000000004,2000,M09,2000 Sep,73723,-9672,-11.6
LAUST210000000000004,2000,M10,2000 Oct,72421,-10658,-12.8
LAUST210000000000004,2000,M11,2000 Nov,80082,3059,4.0
LAUST210000000000004,2000,M12,2000 Dec,79282,5559,7.5
LAUST210000000000004,2001,M01,2001 Jan,101350,28929,39.9
LAUST210000000000004,2001,M02,2001 Feb,103444,23362,29.2
LAUST210000000000004,2001,M03,2001 Mar,103654,24372,30.7
LAUST210000000000004,2001,M04,2001 Apr,92865,-8485,-8.4
LAUST210000000000004,2001,M05,2001 May,91261,-12183,-11.8
LAUST210000000000004,2001,M06,2001 Jun,101051,-2603,-2.5
LAUST210000000000004,2001,M07,2001 Jul,102729,9864,10.6
LAUST210000000000004,2001,M08,2001 Aug,100606,9345,10.2
LAUST210000000000004,2001,M09,2001 Sep,96182,-4869,-4.8
LAUST210000000000004,2001,M10,2001 Oct,102213,-516,-0.5
LAUST210000000000004,2001,M11,2001 Nov,108832,8226,8.2
LAUST210000000000004,2001,M12,2001 Dec,109868,13686,14.2
LAUST210000000000004,2002,M01,2002 Jan,127560,25347,24.8
LAUST210000000000004,2002,M02,2002 Feb,126021,17189,15.8
LAUST210000000000004,2002,M03,2002 Mar,120432,10564,9.6
LAUST210000000000004,2002,M04,2002 Apr,104429,-23131,-18.1
LAUST210000000000004,2002,M05,2002 May,106415,-19606,-15.6
LAUST210000000000004,2002,M06,2002 Jun,113680,-6752,-5.6
LAUST210000000000004,2002,M07,2002 Jul,109355,4926,4.7
LAUST210000000000004,2002,M08,2002 Aug,104202,-2213,-2.1
LAUST210000000000004,2002,M09,2002 Sep,100702,-12978,-11.4
LAUST210000000000004,2002,M10,2002 Oct,97487,-11868,-10.9
LAUST210000000000004,2002,M11,2002 Nov,106363,2161,2.1
LAUST210000000000004,2002,M12,2002 Dec,109174,8472,8.4
LAUST210000000000004,2003,M01,2003 Jan,128680,31193,32.0
LAUST210000000000004,2003,M02,2003 Feb,135454,29091,27.4
LAUST210000000000004,2003,M03,2003 Mar,127152,17978,16.5
LAUST210000000000004,2003,M04,2003 Apr,116885,-11795,-9.2
LAUST210000000000004,2003,M05,2003 May,122130,-13324,-9.8
LAUST210000000000004,2003,M06,2003 Jun,136397,9245,7.3
LAUST210000000000004,2003,M07,2003 Jul,127592,10707,9.2
LAUST210000000000004,2003,M08,2003 Aug,114247,-7883,-6.5
LAUST210000000000004,2003,M09,2003 Sep,112022,-24375,-17.9
LAUST210000000000004,2003,M10,2003 Oct,106312,-21280,-16.7
LAUST210000000000004,2003,M11,2003 Nov,111197,-3050,-2.7
LAUST210000000000004,2003,M12,2003 Dec,103992,-8030,-7.2
LAUST210000000000004,2004,M01,2004 Jan,122971,16659,15.7
LAUST210000000000004,2004,M02,2004 Feb,126039,14842,13.3
LAUST210000000000004,2004,M03,2004 Mar,122667,18675,18.0
LAUST210000000000004,2004,M04,2004 Apr,104955,-18016,-14.7
LAUST210000000000004,2004,M05,2004 May,107607,-18432,-14.6
LAUST210000000000004,2004,M06,2004 Jun,114423,-8244,-6.7
LAUST210000000000004,2004,M07,2004 Jul,110382,5427,5.2
LAUST210000000000004,2004,M08,2004 Aug,96805,-10802,-10.0
LAUST210000000000004,2004,M09,2004 Sep,90781,-23642,-20.7
LAUST210000000000004,2004,M10,2004 Oct,88507,-21875,-19.8
LAUST210000000000004,2004,M11,2004 Nov,92520,-4285,-4.4
LAUST210000000000004,2004,M12,2004 Dec,95055,4274,4.7
LAUST210000000000004,2005,M01,2005 Jan,120371,31864,36.0
LAUST210000000000004,2005,M02,2005 Feb,129779,37259,40.3
LAUST210000000000004,2005,M03,2005 Mar,123360,28305,29.8
LAUST210000000000004,2005,M04,2005 Apr,111497,-8874,-7.4
LAUST210000000000004,2005,M05,2005 May,117653,-12126,-9.3
LAUST210000000000004,2005,M06,2005 Jun,126327,2967,2.4
LAUST210000000000004,2005,M07,2005 Jul,123222,11725,10.5
LAUST210000000000004,2005,M08,2005 Aug,113234,-4419,-3.8
LAUST210000000000004,2005,M09,2005 Sep,108370,-17957,-14.2
LAUST210000000000004,2005,M10,2005 Oct,108758,-14464,-11.7
LAUST210000000000004,2005,M11,2005 Nov,116362,3128,2.8
LAUST210000000000004,2005,M12,2005 Dec,115074,6704,6.2
LAUST210000000000004,2006,M01,2006 Jan,129262,20504,18.9
LAUST210000000000004,2006,M02,2006 Feb,136460,20098,17.3
LAUST210000000000004,2006,M03,2006 Mar,126204,11130,9.7
LAUST210000000000004,2006,M04,2006 Apr,113610,-15652,-12.1
LAUST210000000000004,2006,M05,2006 May,113589,-22871,-16.8
LAUST210000000000004,2006,M06,2006 Jun,121645,-4559,-3.6
LAUST210000000000004,2006,M07,2006 Jul,122409,8799,7.7
LAUST210000000000004,2006,M08,2006 Aug,110602,-2987,-2.6
LAUST210000000000004,2006,M09,2006 Sep,108664,-12981,-10.7
LAUST210000000000004,2006,M10,2006 Oct,99171,-23238,-19.0
LAUST210000000000004,2006,M11,2006 Nov,105390,-5212,-4.7
LAUST210000000000004,2006,M12,2006 Dec,102097,-6567,-6.0
LAUST210000000000004,2007,M01,2007 Jan,128240,29069,29.3
LAUST210000000000004,2007,M02,2007 Feb,133120,27730,26.3
LAUST210000000000004,2007,M03,2007 Mar,120445,18348,18.0
LAUST210000000000004,2007,M04,2007 Apr,104290,-23950,-18.7
LAUST210000000000004,2007,M05,2007 May,105338,-27782,-20.9
LAUST210000000000004,2007,M06,2007 Jun,112353,-8092,-6.7
LAUST210000000000004,2007,M07,2007 Jul,111926,7636,7.3
LAUST210000000000004,2007,M08,2007 Aug,101396,-3942,-3.7
LAUST210000000000004,2007,M09,2007 Sep,101857,-10496,-9.3
LAUST210000000000004,2007,M10,2007 Oct,97147,-14779,-13.2
LAUST210000000000004,2007,M11,2007 Nov,95644,-5752,-5.7
LAUST210000000000004,2007,M12,2007 Dec,106587,4730,4.6
LAUST210000000000004,2008,M01,2008 Jan,118885,21738,22.4
LAUST210000000000004,2008,M02,2008 Feb,123636,27992,29.3
LAUST210000000000004,2008,M03,2008 Mar,123015,16428,15.4
LAUST210000000000004,2008,M04,2008 Apr,109702,-9183,-7.7
LAUST210000000000004,2008,M05,2008 May,119402,-4234,-3.4
LAUST210000000000004,2008,M06,2008 Jun,133469,10454,8.5
LAUST210000000000004,2008,M07,2008 Jul,133906,24204,22.1
LAUST210000000000004,2008,M08,2008 Aug,133942,14540,12.2
LAUST210000000000004,2008,M09,2008 Sep,133284,-185,-0.1
LAUST210000000000004,2008,M10,2008 Oct,131081,-2825,-2.1
LAUST210000000000004,2008,M11,2008 Nov,138525,4583,3.4
LAUST210000000000004,2008,M12,2008 Dec,161817,28533,21.4
LAUST210000000000004,2009,M01,2009 Jan,203464,72383,55.2
LAUST210000000000004,2009,M02,2009 Feb,218212,79687,57.5
LAUST210000000000004,2009,M03,2009 Mar,220892,59075,36.5
LAUST210000000000004,2009,M04,2009 Apr,205367,1903,0.9
LAUST210000000000004,2009,M05,2009 May,220286,2074,1.0
LAUST210000000000004,2009,M06,2009 Jun,230548,9656,4.4
LAUST210000000000004,2009,M07,2009 Jul,225482,20115,9.8
LAUST210000000000004,2009,M08,2009 Aug,214285,-6001,-2.7
LAUST210000000000004,2009,M09,2009 Sep,207607,-22941,-10.0
LAUST210000000000004,2009,M10,2009 Oct,203595,-21887,-9.7
LAUST210000000000004,2009,M11,2009 Nov,201275,-13010,-6.1
LAUST210000000000004,2009,M12,2009 Dec,205414,-2193,-1.1
LAUST210000000000004,2010,M01,2010 Jan,235329,31734,15.6
LAUST210000000000004,2010,M02,2010 Feb,242983,41708,20.7
LAUST210000000000004,2010,M03,2010 Mar,225506,20092,9.8
LAUST210000000000004,2010,M04,2010 Apr,205656,-29673,-12.6
LAUST210000000000004,2010,M05,2010 May,206687,-36296,-14.9
LAUST210000000000004,2010,M06,2010 Jun,208474,-17032,-7.6
LAUST210000000000004,2010,M07,2010 Jul,207355,1699,0.8
LAUST210000000000004,2010,M08,2010 Aug,200511,-6176,-3.0
LAUST210000000000004,2010,M09,2010 Sep,196583,-11891,-5.7
LAUST210000000000004,2010,M10,2010 Oct,192069,-15286,-7.4
LAUST210000000000004,2010,M11,2010 Nov,199936,-575,-0.3
LAUST210000000000004,2010,M12,2010 Dec,195614,-969,-0.5
LAUST210000000000004,2011,M01,2011 Jan,218733,26664,13.9
LAUST210000000000004,2011,M02,2011 Feb,217010,17074,8.5
LAUST210000000000004,2011,M03,2011 Mar,205575,9961,5.1
LAUST210000000000004,2011,M04,2011 Apr,187776,-30957,-14.2
LAUST210000000000004,2011,M05,2011 May,194586,-22424,-10.3
LAUST210000000000004,2011,M06,2011 Jun,201427,-4148,-2.0
LAUST210000000000004,2011,M07,2011 Jul,201922,14146,7.5
LAUST210000000000004,2011,M08,2011 Aug,187106,-7480,-3.8
LAUST210000000000004,2011,M09,2011 Sep,188024,-13403,-6.7
LAUST210000000000004,2011,M10,2011 Oct,176987,-24935,-12.3
LAUST210000000000004,2011,M11,2011 Nov,171375,-15731,-8.4
LAUST210000000000004,2011,M12,2011 Dec,171265,-16759,-8.9
LAUST210000000000004,2012,M01,2012 Jan,183640,6653,3.8
LAUST210000000000004,2012,M02,2012 Feb,184478,13103,7.6
LAUST210000000000004,2012,M03,2012 Mar,173600,2335,1.4
LAUST210000000000004,2012,M04,2012 Apr,153746,-29894,-16.3
LAUST210000000000004,2012,M05,2012 May,164647,-19831,-10.7
LAUST210000000000004,2012,M06,2012 Jun,176643,3043,1.8
LAUST210000000000004,2012,M07,2012 Jul,177483,23737,15.4
LAUST210000000000004,2012,M08,2012 Aug,168447,3800,2.3
LAUST210000000000004,2012,M09,2012 Sep,160195,-16448,-9.3
LAUST210000000000004,2012,M10,2012 Oct,156683,-20800,-11.7
LAUST210000000000004,2012,M11,2012 Nov,152687,-15760,-9.4
LAUST210000000000004,2012,M12,2012 Dec,163325,3130,2.0
LAUST210000000000004,2013,M01,2013 Jan,182825,26142,16.7
LAUST210000000000004,2013,M02,2013 Feb,181266,28579,18.7
LAUST210000000000004,2013,M03,2013 Mar,174328,11003,6.7
LAUST210000000000004,2013,M04,2013 Apr,158575,-24250,-13.3
LAUST210000000000004,2013,M05,2013 May,168127,-13139,-7.2
LAUST210000000000004,2013,M06,2013 Jun,180161,5833,3.3
LAUST210000000000004,2013,M07,2013 Jul,173227,14652,9.2
LAUST210000000000004,2013,M08,2013 Aug,160966,-7161,-4.3
LAUST210000000000004,2013,M09,2013 Sep,159267,-20894,-11.6
LAUST210000000000004,2013,M10,2013 Oct,157130,-16097,-9.3
LAUST210000000000004,2013,M11,2013 Nov,148716,-12250,-7.6
LAUST210000000000004,2013,M12,2013 Dec,144703,-14564,-9.1
LAUST210000000000004,2014,M01,2014 Jan,161394,4264,2.7
LAUST210000000000004,2014,M02,2014 Feb,169990,21274,14.3
LAUST210000000000004,2014,M03,2014 Mar,159932,15229,10.5
LAUST210000000000004,2014,M04,2014 Apr,129653,-31741,-19.7
LAUST210000000000004,2014,M05,2014 May,136623,-33367,-19.6
LAUST210000000000004,2014,M06,2014 Jun,136425,-23507,-14.7
LAUST210000000000004,2014,M07,2014 Jul,134473,4820,3.7
LAUST210000000000004,2014,M08,2014 Aug,119230,-17393,-12.7
LAUST210000000000004,2014,M09,2014 Sep,107711,-28714,-21.0
LAUST210000000000004,2014,M10,2014 Oct,99155,-35318,-26.3
LAUST210000000000004,2014,M11,2014 Nov,100257,-18973,-15.9
LAUST210000000000004,2014,M12,2014 Dec,97621,-10090,-9.4
LAUST210000000000004,2015,M01,2015 Jan,117837,18682,18.8
LAUST210000000000004,2015,M02,2015 Feb,114655,14398,14.4
LAUST210000000000004,2015,M03,2015 Mar,110547,12926,13.2
LAUST210000000000004,2015,M04,2015 Apr,95452,-22385,-19.0
LAUST210000000000004,2015,M05,2015 May,106032,-8623,-7.5
LAUST210000000000004,2015,M06,2015 Jun,109989,-558,-0.5
LAUST210000000000004,2015,M07,2015 Jul,112714,17262,18.1
LAUST210000000000004,2015,M08,2015 Aug,95406,-10626,-10.0
LAUST210000000000004,2015,M09,2015 Sep,93766,-16223,-14.7
LAUST210000000000004,2015,M10,2015 Oct,91893,-20821,-18.5
LAUST210000000000004,2015,M11,2015 Nov,98006,2600,2.7
LAUST210000000000004,2015,M12,2015 Dec,103425,9659,10.3
LAUST210000000000004,2016,M01,2016 Jan,114577,22684,24.7
LAUST210000000000004,2016,M02,2016 Feb,116114,18108,18.5
LAUST210000000000004,2016,M03,2016 Mar,108376,4951,4.8
LAUST210000000000004,2016,M04,2016 Apr,91540,-23037,-20.1
LAUST210000000000004,2016,M05,2016 May,96565,-19549,-16.8
LAUST210000000000004,2016,M06,2016 Jun,107207,-1169,-1.1
LAUST210000000000004,2016,M07,2016 Jul,103089,11549,12.6
LAUST210000000000004,2016,M08,2016 Aug,95780,-785,-0.8
LAUST210000000000004,2016,M09,2016 Sep,96448,-10759,-10.0
LAUST210000000000004,2016,M10,2016 Oct,91044,-12045,-11.7
LAUST210000000000004,2016,M11,2016 Nov,84844,-10936,-11.4
LAUST210000000000004,2016,M12,2016 Dec,90832,-5616,-5.8
LAUST210000000000004,2017,M01,2017 Jan,118550,27506,30.2
LAUST210000000000004,2017,M02,2017 Feb,114038,29194,34.4
LAUST210000000000004,2017,M03,2017 Mar,112711,21879,24.1
LAUST210000000000004,2017,M04,2017 Apr,101438,-17112,-14.4
LAUST210000000000004,2017,M05,2017 May,98194,-15844,-13.9
LAUST210000000000004,2017,M06,2017 Jun,119700,6989,6.2
LAUST210000000000004,2017,M07,2017 Jul,123031,21593,21.3
LAUST210000000000004,2017,M08,2017 Aug,107284,9090,9.3
LAUST210000000000004,2017,M09,2017 Sep,89043,-30657,-25.6
LAUST210000000000004,2017,M10,2017 Oct,87272,-35759,-29.1
